Serie;Codigo_municipio;Nombre;2021;2022;2023
Municipios;1065;Parla;2711;2953;3337;
Municipios;1071;Patones;19;17;20;
Municipios;1087;Pedrezuela;96;117;138;
Municipios;1090;Pelayos de la Presa;105;105;99;
Municipios;1104;Perales de Tajuña;98;99;100;
Municipios;1111;Pezuela de las Torres;32;29;27;
Municipios;1126;Pinilla del Valle;10;10;8;
Municipios;1132;Pinto;1247;1333;1448;
Municipios;1147;Piñuécar-Gandullas;6;5;4;
Municipios;1150;Pozuelo de Alarcón;3158;3300;3454;
Municipios;1163;Pozuelo del Rey;19;19;27;
Municipios;1179;Prádena del Rincón;6;7;6;
Municipios;1185;Puebla de la Sierra;2;5;5;
Municipios;9020;Puentes Viejas;23;28;30;
Municipios;1198;Quijorna;91;93;99;
Municipios;1202;Rascafría;80;85;86;
Municipios;1219;Redueña;14;19;14;
Municipios;1224;Ribatejada;24;26;28;
Municipios;1230;Rivas-Vaciamadrid;1047;1182;1328;
Municipios;1245;Robledillo de la Jara;5;3;2;
Municipios;1258;Robledo de Chavela;166;169;176;
Municipios;1261;Robregordo;3;4;4;
Municipios;1277;Rozas de Madrid (Las);2449;2682;2961;
Municipios;1283;Rozas de Puerto Real;27;30;35;
Municipios;1296;San Agustín del Guadalix;239;274;289;
Municipios;1300;San Fernando de Henares;904;960;1036;
Municipios;1317;San Lorenzo de El Escorial;580;588;642;
Municipios;1338;San Martín de Valdeiglesias;299;309;338;
Municipios;1322;San Martín de la Vega;362;375;401;
Municipios;1343;San Sebastián de los Reyes;2460;2653;2908;
Municipios;1356;Santa María de la Alameda;40;37;54;
Municipios;1369;Santorcaz;32;37;37;
Municipios;1375;Santos de la Humosa (Los);63;73;73;
Municipios;1381;Serna del Monte (La);2;1;0;
Municipios;1408;Serranillos del Valle;96;104;102;
Municipios;1415;Sevilla la Nueva;195;227;226;
Municipios;1436;Somosierra;2;3;2;
Municipios;1441;Soto del Real;270;282;301;
Municipios;1454;Talamanca de Jarama;95;116;133;
Municipios;1467;Tielmes;77;90;92;
Municipios;1473;Titulcia;59;55;55;
Municipios;1489;Torrejón de Ardoz;3619;3864;4240;
Municipios;1505;Torrejón de Velasco;101;100;118;
Municipios;1492;Torrejón de la Calzada;162;177;197;
Municipios;1512;Torrelaguna;134;139;150;
Municipios;1527;Torrelodones;571;616;675;
Municipios;1533;Torremocha de Jarama;54;54;71;
Municipios;1548;Torres de la Alameda;176;194;208;
Municipios;9036;Tres Cantos;1084;1231;1365;
Municipios;1551;Valdaracete;21;23;26;
Municipios;1564;Valdeavero;31;41;47;
Municipios;1570;Valdelaguna;36;45;43;
Municipios;1586;Valdemanco;46;49;48;
Municipios;1599;Valdemaqueda;42;41;41;
Municipios;1603;Valdemorillo;333;371;385;
Municipios;1610;Valdemoro;1391;1531;1711;
Municipios;1625;Valdeolmos-Alalpardo;87;100;107;
Municipios;1631;Valdepiélagos;26;25;29;
Municipios;1646;Valdetorres de Jarama;152;147;152;
Municipios;1659;Valdilecha;73;81;87;
Municipios;1662;Valverde de Alcalá;11;12;15;
Municipios;1678;Velilla de San Antonio;163;191;218;
Municipios;1684;Vellón (El);64;77;83;
Municipios;1697;Venturada;68;64;74;
Municipios;1718;Villa del Prado;215;235;259;
Municipios;1701;Villaconejos;118;126;120;
Municipios;1723;Villalbilla;239;249;307;
Municipios;1739;Villamanrique de Tajo;34;33;38;
Municipios;1744;Villamanta;86;92;94;
Municipios;1757;Villamantilla;31;30;28;
Municipios;1782;Villanueva de Perales;47;52;47;
Municipios;1760;Villanueva de la Cañada;480;498;540;
Municipios;1776;Villanueva del Pardillo;272;291;323;
Municipios;1795;Villar del Olmo;43;46;44;
Municipios;1809;Villarejo de Salvanés;199;233;243;
Municipios;1816;Villaviciosa de Odón;1010;1151;1259;
Municipios;1821;Villavieja del Lozoya;11;14;12;
Municipios;1837;Zarzalejo;54;53;58;
